,Lead Source,Title,Address,Telephone,Email
26,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Friedrich Feldmann GmbH & Co. KG,Bannwaldallee 40 D - 76185 Karlsruhe,+49 (0)721 559950,info@feldmann-essig.de
27,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Hela Gewürzwerk Hermann Laue GmbH,Beimoorweg 11 D-22926 Ahrensburg,+49 (0)4102 496303,lars.oehme@hela.eu
28,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Hengstenberg GmbH & Co. KG,Mettinger Str. 109 D-73728 Esslingen,+49 (0)711 39290,info@hengstenberg.de
29,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Keunecke Feinkost GmbH,Große Gasse 367 D - 06493 Ballenstedt,+49 (0)39483 59249,j.mena-koenig@keunecke-feinkost.de
30,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Heinrich Kühlmann GmbH & Co. KG,Im Thüle 26 33397 Rietberg,+49 (0)5244 4009215,wiebke.steiner@kuehlmann.de
31,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Lay Gewürze GmbH,Im Oberen Weidig 2 D - 98631 Grabfeld/Queienfeld,+49 (0)36944 5210,export@lay-gewuerze.de
32,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,RILA Feinkost-Importe GmbH & Co. KG,Hinterm Teich 5 D-32351 Stemwede-Levern,+49 (0)5745 945158,export@rila.de
33,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Seitenbacher,Siemensstraße 14 D - 74722 Buchen,+49 (0)6281 3066,export@seitenbacher.de
34,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,"Terheggen & Dethlefsen
Food Engineering GmbH",Ottensener Straße 130 D - 22525 Hamburg - Stellingen,+49 (0)40 54779324,a.schirra@terheggen-dethlefsen.de
35,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Teutoburger Ölmühle GmbH,Gutenbergstraße 17 D - 49477 Ibbenbüren,+49 (0)5451 99590,info@teutoburger-oelmuehle.de
36,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Valenzi GmbH & Co. KG,Industriestraße 5 -7 D - 29556 Suderburg,+49 (0)5826 889 -26 oder -47,henning.vogt@valenzi.de / matthias.pohlmann@valenzi.de
37,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Fauser Vitaquellwerk KG (GmbH & Co.),Pinneberger Chaussee 60 D - 22523 Hamburg,+49 (0)40 57202262,andrea.dehn@vitaquell.de
38,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Worlée NaturProdukte GmbH,Grusonstr. 26 D - 22529 Hamburg,+49 (0)40 733335052,pschmid@worlee.de
39,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,AGRARFROST GmbH & Co. KG,Aldrup 3 D - 27793 Wildeshausen,+49 (0)4434 870,export@agrarfrost.de
40,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,ALB-GOLD Teigwaren GmbH,Im Grindel 1 D - 72818 Trochtelfingen,+49 (0)7124 9291184,c.doerner@alb-gold.de
41,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Berief Food GmbH,Lebensweg 1 D-59269 Beckum,+49 (0)2521 2614317,office@berief-sales.com
42,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Bio-Zentrale Naturprodukte GmbH,Holzmühlenweg 4 D-84384 Wittibreut - Ulbering,+49 (0)8574 96100,mandy.malsch@biozentrale.de
43,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,H. & J. BRÜGGEN KG,Gertrudenstraße 15 D - 23568 Lübeck,+49 (0)451 3100127,info@brueggen.com
44,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Buck GmbH & Co. KG Nudelspezialitäten,Mühlstrasse 8-10 D - 88512 Mengen,+49 (0)7572 769920,info@buck-dl.de
45,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Byodo Naturkost GmbH,Leisederstrasse 2 D-84453 Mühldorf,+49 (0)8631 362961,pillris@byodo.de
46,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Dieter Hein GmbH & Co.KG,Hansastraße 8-10 D - 49202 Hasbergen,+49 (0)5405 508153,hein@dieter-hein.com
47,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,DREISTERN-Konserven GmbH & Co KG,Philipp-Oehmigke-Straße 4 D - 16816 Neuruppin am See,+49 (0)3391 59570,verbraucher@dreistern-konserven.de
48,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,HANNA-Feinkost AG,Boker Straße 41 D - 33129 Delbrück,+49 (0)5250 5107 - 58 oder -53,sales@hanna.de
49,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,"Max Ladenburger Söhne
Heimatsmühle GmbH & Co. KG",Heimatsmühle 1 D - 73433 Aalen,+49 (0)7361 91510,info@heimatsmuehle.com
50,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Hela Gewürzwerk Hermann Laue GmbH,Beimoorweg 11 D-22926 Ahrensburg,+49 (0)4102 496303,lars.oehme@hela.eu
51,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Hengstenberg GmbH & Co. KG,Mettinger Str. 109 D-73728 Esslingen,+49 (0)711 39290,info@hengstenberg.de
52,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Keunecke Feinkost GmbH,Große Gasse 367 D - 06493 Ballenstedt,+49 (0)39483 59249,j.mena-koenig@keunecke-feinkost.de
53,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Heinrich Kühlmann GmbH & Co. KG,Im Thüle 26 33397 Rietberg,+49 (0)5244 4009215,wiebke.steiner@kuehlmann.de
54,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,"Meica Ammerländische Fleischwarenfabrik
Fritz Meinen GmbH & Co KG",Meicastraße 6 D-26188 Edewecht,+49 (0)4405 999 144,angelika.wilking@meica.de
55,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,RILA Feinkost-Importe GmbH & Co. KG,Hinterm Teich 5 D-32351 Stemwede-Levern,+49 (0)5745 945158,export@rila.de
56,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,RUF Lebensmittelwerk KG,Oldenburger Strasse 1 D - 49610 Quakenbrück,+49 (0)5431 185197,export@ruf.eu
57,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Seitenbacher,Siemensstraße 14 D - 74722 Buchen,+49 (0)6281 3066,export@seitenbacher.de
58,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Franz Tress GmbH & Co. KG,Dottinger Straße 69 D-72525 Münsingen,+49 (0)7381 939215,info@tress.de
59,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Valenzi GmbH & Co. KG,Industriestraße 5 -7 D - 29556 Suderburg,+49 (0)5826 889 -26 oder -47,henning.vogt@valenzi.de / matthias.pohlmann@valenzi.de
60,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Fauser Vitaquellwerk KG (GmbH & Co.),Pinneberger Chaussee 60 D - 22523 Hamburg,+49 (0)40 57202262,andrea.dehn@vitaquell.de
61,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Costa Meeresspezialitäten GmbH & Co. KG,Stedinger Str. 25 D-26723 Emden,+49 (0)5971 7999501,info@costa.de
62,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Die Räucherei GmbH & Co. KG,Klosterhörn 2 D-27419 Klein Meckelsen,+49 (0)4282 911190,info@die-raeucherei.com
63,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,RILA Feinkost-Importe GmbH & Co. KG,Hinterm Teich 5 D-32351 Stemwede-Levern,+49 (0)5745 945158,export@rila.de
64,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,AGRARFROST GmbH & Co. KG,Aldrup 3 D - 27793 Wildeshausen,+49 (0)4434 870,export@agrarfrost.de
65,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,ALB-GOLD Teigwaren GmbH,Im Grindel 1 D - 72818 Trochtelfingen,+49 (0)7124 9291184,c.doerner@alb-gold.de
66,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,BACK SHOP Tiefkühl GmbH,Leverkusenstraße 54 D - 22761 Hamburg,+49 40 523 8720,andreas.wollge@backshop-tk.de
67,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Berief Food GmbH,Lebensweg 1 D-59269 Beckum,+49 (0)2521 2614317,office@berief-sales.com
68,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Costa Meeresspezialitäten GmbH & Co. KG,Stedinger Str. 25 D-26723 Emden,+49 (0)5971 7999501,info@costa.de
69,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Die Räucherei GmbH & Co. KG,Klosterhörn 2 D-27419 Klein Meckelsen,+49 (0)4282 911190,info@die-raeucherei.com
70,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Dieter Hein GmbH & Co.KG,Hansastraße 8-10 D - 49202 Hasbergen,+49 (0)5405 508153,hein@dieter-hein.com
71,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,HANNA-Feinkost AG,Boker Straße 41 D - 33129 Delbrück,+49 (0)5250 5107 - 58 oder -53,sales@hanna.de
72,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Hengstenberg GmbH & Co. KG,Mettinger Str. 109 D-73728 Esslingen,+49 (0)711 39290,info@hengstenberg.de
73,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Keunecke Feinkost GmbH,Große Gasse 367 D - 06493 Ballenstedt,+49 (0)39483 59249,j.mena-koenig@keunecke-feinkost.de
74,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Heinrich Kühlmann GmbH & Co. KG,Im Thüle 26 33397 Rietberg,+49 (0)5244 4009215,wiebke.steiner@kuehlmann.de
75,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,LeRo Food GmbH & Co. KG,Berndorf 42 D - 04539 Groitzsch,+49 (0)34492 25726,Thorsten.Rook@lerofood.de
76,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Valenzi GmbH & Co. KG,Industriestraße 5 -7 D - 29556 Suderburg,+49 (0)5826 889 -26 oder -47,henning.vogt@valenzi.de / matthias.pohlmann@valenzi.de
77,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Fauser Vitaquellwerk KG (GmbH & Co.),Pinneberger Chaussee 60 D - 22523 Hamburg,+49 (0)40 57202262,andrea.dehn@vitaquell.de
78,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,AVO-Werke August Beisse GmbH,Industriestraße 7 D - 49191 Belm,+49 (0)5406 5080,info@avo.de
79,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Berief Food GmbH,Lebensweg 1 D-59269 Beckum,+49 (0)2521 2614317,office@berief-sales.com
80,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Bio Kartoffel Nord GmbH & Co. KG,An den Gärten 24 D-29439 Lüchow,+49 (0)5841 976409,m.monz@biokartoffelnord.de
81,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Bio-Zentrale Naturprodukte GmbH,Holzmühlenweg 4 D-84384 Wittibreut - Ulbering,+49 (0)8574 96100,mandy.malsch@biozentrale.de
82,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,P. Brändle GmbH,Robert-Bosch-Str. 10 D-72186 Empfingen,+49 (0)7485 9779-0,info@braendle.de
83,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Byodo Naturkost GmbH,Leisederstrasse 2 D-84453 Mühldorf,+49 (0)8631 362961,pillris@byodo.de
84,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Dr. Otto Suwelack Nachf. GmbH & Co. KG,Josef-Suwelack-Straße 1 D - 48727 Billerbeck,+49 (0)2543 72 -257 oder -121,baerbel.heck@suwelack.de / helga.neinert@suwelack.de
85,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Friedrich Feldmann GmbH & Co. KG,Bannwaldallee 40 D - 76185 Karlsruhe,+49 (0)721 559950,info@feldmann-essig.de
86,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,"Max Ladenburger Söhne
Heimatsmühle GmbH & Co. KG",Heimatsmühle 1 D - 73433 Aalen,+49 (0)7361 91510,info@heimatsmuehle.com
87,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Hela Gewürzwerk Hermann Laue GmbH,Beimoorweg 11 D-22926 Ahrensburg,+49 (0)4102 496303,lars.oehme@hela.eu
88,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Hengstenberg GmbH & Co. KG,Mettinger Str. 109 D-73728 Esslingen,+49 (0)711 39290,info@hengstenberg.de
89,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,K+S Minerals and Agriculture GmbH,Bertha-von-Suttner-Straße 7 D - 34131 Kassel,+49 (0)561 93012063,svenja.eichenberg@k-plus-s.com
90,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Kröner-Stärke GmbH,Lengericher Straße 158 D - 49479 Ibbenbüren,+49 (0)5451 94470,info@kroener-staerke.de
91,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Lay Gewürze GmbH,Im Oberen Weidig 2 D - 98631 Grabfeld/Queienfeld,+49 (0)36944 5210,export@lay-gewuerze.de
92,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Lebensbaum Ulrich Walter GmbH,Dr.-Jürgen-Ulderup-Straße 12 D-49356 Diepholz,+49 (0)5441 9856-0,info@lebensbaum.de
93,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Rickmers Reismühle GmbH,Stephanikirchenweide 30 D - 28217 Bremen,+49 (0)421 380570,info@rickmers.eu
94,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,RILA Feinkost-Importe GmbH & Co. KG,Hinterm Teich 5 D-32351 Stemwede-Levern,+49 (0)5745 945158,export@rila.de
95,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,RUF Lebensmittelwerk KG,Oldenburger Strasse 1 D - 49610 Quakenbrück,+49 (0)5431 185197,export@ruf.eu
96,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Seitenbacher,Siemensstraße 14 D - 74722 Buchen,+49 (0)6281 3066,export@seitenbacher.de
97,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,"Terheggen & Dethlefsen
Food Engineering GmbH",Ottensener Straße 130 D - 22525 Hamburg - Stellingen,+49 (0)40 54779324,a.schirra@terheggen-dethlefsen.de
98,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Teutoburger Ölmühle GmbH,Gutenbergstraße 17 D - 49477 Ibbenbüren,+49 (0)5451 99590,info@teutoburger-oelmuehle.de
99,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Valenzi GmbH & Co. KG,Industriestraße 5 -7 D - 29556 Suderburg,+49 (0)5826 889 -26 oder -47,henning.vogt@valenzi.de / matthias.pohlmann@valenzi.de
100,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Fauser Vitaquellwerk KG (GmbH & Co.),Pinneberger Chaussee 60 D - 22523 Hamburg,+49 (0)40 57202262,andrea.dehn@vitaquell.de
101,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Worlée NaturProdukte GmbH,Grusonstr. 26 D - 22529 Hamburg,+49 (0)40 733335052,pschmid@worlee.de
102,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Aronia Original Naturprodukte GmbH,Könneritzstraße 7 D-01067 Dresden,+49 (0)351 8966590,mail@aronia-original.de
103,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,August Ernst GmbH & Co. KG,Industriestr. 27 / 29 D - 23843 Bad Oldesloe,+49 (0)4531 80715,s.thomas@august-ernst.de
104,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Berief Food GmbH,Lebensweg 1 D-59269 Beckum,+49 (0)2521 2614317,office@berief-sales.com
105,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Bio-Zentrale Naturprodukte GmbH,Holzmühlenweg 4 D-84384 Wittibreut - Ulbering,+49 (0)8574 96100,mandy.malsch@biozentrale.de
106,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,J. Bünting Teehandelshaus GmbH & Comp.,Johann-Bünting-Straße 3 D - 26845 Nortmoor,+49 (0)491 808397,export@buenting.de
107,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Destillerie KAMMER-KIRSCH GmbH,Hardtstrasse 35-37 D - 76185 Karlsruhe,+49 (0)721 9555117,erdrich@kammer-kirsch.de
108,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Dr. Otto Suwelack Nachf. GmbH & Co. KG,Josef-Suwelack-Straße 1 D - 48727 Billerbeck,+49 (0)2543 72 -257 oder -121,baerbel.heck@suwelack.de / helga.neinert@suwelack.de
109,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,KATLENBURGER Kellerei GmbH & Co. KG,Osteroder Straße 12 D - 37191 Katlenburg,+49 (0)5552 70716,Mail@katlenburger.de
110,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Kelterei Heil oHG,An den Obstwiesen 2 D - 35789 Weilmünster-Laubuseschbach,+49 (0)6475 9131 -16 oder -14,martin.heil@kelterei-heil.de
111,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Kelterei Possmann GmbH & Co. KG,Eschborner Landstraße 156-162 D - 60489 Frankfurt am Main,+49 (0)69 78990419,opel@possmann.de
112,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Lebensbaum Ulrich Walter GmbH,Dr.-Jürgen-Ulderup-Straße 12 D-49356 Diepholz,+49 (0)5441 9856-0,info@lebensbaum.de
113,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,PFUNGSTÄDTER BRAUEREI GmbH,Eberstädter Straße 89 D-64319 Pfungstadt,+49 (0)6457 802154,j.stork@pfungstaedter.de
114,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Haus Rabenhorst O. Lauffs GmbH & Co. KG,Rabenhorststraße 1 D-53572 Unkel,+49 (0)2224 1805-0,info@rabenhorst.de
115,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,"RHODIUS Mineralquellen und Getränke
GmbH & Co. KG",Brohltalstraße 2 D-56659 Burgbrohl,+49 (0)26369 20214,c.christnach@rhodius.de
116,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Schloss Wachenheim AG,Niederkircher Straße 27 D - 54294 Trier,+49 (0)651 9988195,export@schloss-wachenheim.de
117,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,stick & lembke GmbH,Am Windhukkai 5 D - 20457 Hamburg,+49 (0)40 311823891,klockmann@stick-lembke.de
118,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Fauser Vitaquellwerk KG (GmbH & Co.),Pinneberger Chaussee 60 D - 22523 Hamburg,+49 (0)40 57202262,andrea.dehn@vitaquell.de
119,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Wollenhaupt Tee GmbH,Gutenbergstr. 33-35 D - 21465 Reinbek,+49 (0)40 728300,info@wollenhaupt.com
120,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Worlée NaturProdukte GmbH,Grusonstr. 26 D - 22529 Hamburg,+49 (0)40 733335052,pschmid@worlee.de
121,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Bio-Zentrale Naturprodukte GmbH,Holzmühlenweg 4 D-84384 Wittibreut - Ulbering,+49 (0)8574 96100,mandy.malsch@biozentrale.de
122,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Breitsamer + Ulrich GmbH & Co. KG,Berger-Kreuz-Straße 28 D-81735 München,-,export@breitsamer.de
123,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,"FÜRSTEN-REFORM
Dr. med. Hans Plümer Nachf. GmbH & Co. KG",Am Salgenholz 2 D - 38110 Braunschweig,"+49 (0)4532 409198 (Fr. A. Blöhs), +49 (0)5307 920010 (Hr. T. Reinecke)",export@langnese-honig.de
124,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Heinrich Kühlmann GmbH & Co. KG,Im Thüle 26 33397 Rietberg,+49 (0)5244 4009215,wiebke.steiner@kuehlmann.de
125,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,RILA Feinkost-Importe GmbH & Co. KG,Hinterm Teich 5 D-32351 Stemwede-Levern,+49 (0)5745 945158,export@rila.de
126,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Franz Simmler GmbH & Co. KG,Franz-Simmler-Straße 1 D - 79787 Lauchringen,+49 (0)7741 969630,kontakt@simmler.de
127,https://fmig-online.de/unsere-mitglieder/?L=cpxjywytlgjuwjn,Fauser Vitaquellwerk KG (GmbH & Co.),Pinneberger Chaussee 60 D - 22523 Hamburg,+49 (0)40 57202262,andrea.dehn@vitaquell.de
